term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,distance_mid,distance_bin,outcome,period,sample
port_treat_X0_100m,0.0031444532360409027,0.0017733603015916187,1.7731609494239307,0.07620204080982232,-0.00033133295507866995,0.006620239427160475,126351,50,0-100,lcus,Period1_2019,All
port_treat_X100_200m,0.0017999202732383842,0.0006661070892743278,2.7021485016759965,0.006889298477642495,0.0004943503782607016,0.0031054901682160668,126351,150,100-200,lcus,Period1_2019,All
port_treat_X200_300m,0.001953984304493814,0.000756080320054721,2.5843607519798892,0.009755969051020176,0.00047206687718656095,0.003435901731801067,126351,250,200-300,lcus,Period1_2019,All
port_treat_X300_400m,0.0013205677445733228,0.0005886739876750583,2.2432921654799904,0.024877980257644105,0.0001667667287302086,0.002474368760416437,126351,350,300-400,lcus,Period1_2019,All
port_treat_X400_500m,0.0018536385974052257,0.0009698545827837926,1.911254151199338,0.05597192796290687,-4.727638485100779e-05,0.0037545535796614593,126351,450,400-500,lcus,Period1_2019,All
port_treat_X0_100m,0.0028750331809999255,0.0020500757807193275,1.4024033687140767,0.1607948279828596,-0.0011431153492099566,0.006893181711209808,126351,50,0-100,lspend,Period1_2019,All
port_treat_X100_200m,0.002969838364623284,0.0009498269901614418,3.1267150706240736,0.0017677115626178817,0.0011081774639068581,0.00483149926533971,126351,150,100-200,lspend,Period1_2019,All
port_treat_X200_300m,0.00199098927614478,0.00099148053243294,2.00809719506968,0.04463296428505532,4.76874325762175e-05,0.003934291119713343,126351,250,200-300,lspend,Period1_2019,All
port_treat_X300_400m,0.0014258882858077162,0.0008577182130126863,1.6624204361935664,0.09642850414059323,-0.000255239411697149,0.0031070159833125814,126351,350,300-400,lspend,Period1_2019,All
port_treat_X400_500m,0.0032639961765444014,0.0011705153364457476,2.788512097975134,0.005295076970548981,0.0009697861171107363,0.0055582062359780665,126351,450,400-500,lspend,Period1_2019,All
port_treat_X0_100m,0.002518128741656394,0.008204495531980925,0.3069206061287728,0.7589038041446117,-0.01356268250102622,0.018598939984339008,22701,50,0-100,lcus,Period1_2019,Disadvantaged
port_treat_X100_200m,0.004082393251338188,0.0018087066882752686,2.2570786506191576,0.02400316065693722,0.0005373281423186617,0.007627458360357714,22701,150,100-200,lcus,Period1_2019,Disadvantaged
port_treat_X200_300m,0.0028645615117181868,0.0028147280982412314,1.0177045212672917,0.3088183979794743,-0.0026523055608346268,0.008381428584271,22701,250,200-300,lcus,Period1_2019,Disadvantaged
port_treat_X300_400m,0.0019020539677837977,0.0016626766419765157,1.1439710643452121,0.25263563730067506,-0.001356792250490173,0.0051609001860577685,22701,350,300-400,lcus,Period1_2019,Disadvantaged
port_treat_X400_500m,-0.0016041101231861266,0.0024165858327111775,-0.6637919090117601,0.5068235048786183,-0.006340618355300034,0.0031323981089277806,22701,450,400-500,lcus,Period1_2019,Disadvantaged
port_treat_X0_100m,0.004351773140036481,0.008220715388362795,0.5293667198595429,0.5965510800204876,-0.011760829021154596,0.02046437530122756,22701,50,0-100,lspend,Period1_2019,Disadvantaged
port_treat_X100_200m,0.004361138374139578,0.0026678822026448804,1.6346817598678234,0.10211577815008502,-0.0008679107430443868,0.009590187491323544,22701,150,100-200,lspend,Period1_2019,Disadvantaged
port_treat_X200_300m,0.003448699235046158,0.0038371979961532078,0.8987545700022465,0.36878340321658787,-0.004072208837414128,0.010969607307506445,22701,250,200-300,lspend,Period1_2019,Disadvantaged
port_treat_X300_400m,0.0053496493614027755,0.0025354397653491,2.1099493013063917,0.03486272303254293,0.00038018742131853966,0.010319111301487011,22701,350,300-400,lspend,Period1_2019,Disadvantaged
port_treat_X400_500m,-0.003177470137758902,0.003820207954450246,-0.8317531861210318,0.40554827292176987,-0.010665077728481385,0.00431013745296358,22701,450,400-500,lspend,Period1_2019,Disadvantaged
port_treat_X0_100m,0.005788504183228514,0.0019815889920621788,2.9211426821687154,0.0034875006798292404,0.0019045897587866437,0.009672418607670385,733480,50,0-100,lcus,Period2_2021_2023,All
port_treat_X100_200m,0.0006987233241967147,0.00076943944070056,0.9080939801585168,0.36382857069823415,-0.0008093779795763829,0.002206824627969812,733480,150,100-200,lcus,Period2_2021_2023,All
port_treat_X200_300m,0.0013639909423051536,0.0005373064026066211,2.5385719129495916,0.01113059250783766,0.00031087039319617634,0.002417111491414131,733480,250,200-300,lcus,Period2_2021_2023,All
port_treat_X300_400m,0.0013692383338786947,0.0005518300523469869,2.481268151408556,0.013091584590642674,0.0002876514312786004,0.002450825236478789,733480,350,300-400,lcus,Period2_2021_2023,All
port_treat_X400_500m,0.00036041052080712516,0.0005573058639753614,0.6467014688061113,0.5178251723065446,-0.0007319089725845833,0.0014527300141988335,733480,450,400-500,lcus,Period2_2021_2023,All
port_treat_X0_100m,0.007554002948083309,0.0021373168827852752,3.534339249797719,0.00040879601296571683,0.0033648618578241696,0.011743144038342448,733480,50,0-100,lspend,Period2_2021_2023,All
port_treat_X100_200m,0.0007985515413674957,0.0009341044200160079,0.8548846619886573,0.39261500259653537,-0.0010322931218638798,0.0026293962045988713,733480,150,100-200,lspend,Period2_2021_2023,All
port_treat_X200_300m,0.0013338605203391653,0.0006453083837142038,2.0670125385042413,0.03873297249221641,6.905608825932591e-05,0.0025986649524190044,733480,250,200-300,lspend,Period2_2021_2023,All
port_treat_X300_400m,0.0019866443596120893,0.0006568877332111918,3.024328601632413,0.0024918562243345893,0.0006991444025181534,0.0032741443167060252,733480,350,300-400,lspend,Period2_2021_2023,All
port_treat_X400_500m,0.0006941920457648384,0.0006940217948478803,1.0002453106202456,0.3171918064470328,-0.000666090672137007,0.002054474763666684,733480,450,400-500,lspend,Period2_2021_2023,All
port_treat_X0_100m,0.008533775123637996,0.004811406886653809,1.773654842476435,0.07612026022326512,-0.0008965823742034702,0.017964132621479462,178901,50,0-100,lcus,Period2_2021_2023,Disadvantaged
port_treat_X100_200m,0.000902337511926759,0.001087331431266428,0.8298642768707566,0.4066155243376951,-0.0012288320933554395,0.0030335071172089573,178901,150,100-200,lcus,Period2_2021_2023,Disadvantaged
port_treat_X200_300m,0.0007927781294155059,0.001175134004775105,0.6746278519675944,0.4999122330727436,-0.0015104845199436997,0.003096040778774712,178901,250,200-300,lcus,Period2_2021_2023,Disadvantaged
port_treat_X300_400m,0.0007445549654088646,0.0010070482399138856,0.7393438922772287,0.4596982030664455,-0.001229259584822351,0.00271836951564008,178901,350,300-400,lcus,Period2_2021_2023,Disadvantaged
port_treat_X400_500m,0.000478923181603475,0.0010928451124081714,0.43823518645577286,0.6612158041494647,-0.0016630532387165407,0.0026208996019234905,178901,450,400-500,lcus,Period2_2021_2023,Disadvantaged
port_treat_X0_100m,0.007881278481609804,0.004634297416169575,1.7006414940290957,0.08901032745265071,-0.0012019444540825631,0.016964501417302172,178901,50,0-100,lspend,Period2_2021_2023,Disadvantaged
port_treat_X100_200m,0.0012117227915937681,0.001403070352202115,0.8636222621994488,0.3877954305581729,-0.0015382950987223773,0.003961740681909914,178901,150,100-200,lspend,Period2_2021_2023,Disadvantaged
port_treat_X200_300m,0.0007978431233010477,0.0015232641700597782,0.5237720015890202,0.6004371293523889,-0.0021877546500161174,0.0037834408966182127,178901,250,200-300,lspend,Period2_2021_2023,Disadvantaged
port_treat_X300_400m,0.001240422759031906,0.0012071957212643823,1.0275241513718445,0.3041737190655097,-0.0011256808546462834,0.0036065263727100955,178901,350,300-400,lspend,Period2_2021_2023,Disadvantaged
port_treat_X400_500m,0.0018534500686528774,0.0013517982946311883,1.3710995760344222,0.17034391713176178,-0.0007960745888242516,0.004502974726130007,178901,450,400-500,lspend,Period2_2021_2023,Disadvantaged
